 179.32 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_0.vasp, 金属: Ir, 氧: O
 178.43 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_1.vasp, 金属: Ir, 氧: O
 177.48 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_2.vasp, 金属: Ir, 氧: O
 176.52 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_3.vasp, 金属: Ir, 氧: O
 175.55 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_4.vasp, 金属: Ir, 氧: O
 174.57 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_5.vasp, 金属: Ir, 氧: O
 173.58 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_6.vasp, 金属: Ir, 氧: O
 172.59 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_7.vasp, 金属: Ir, 氧: O
 171.59 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_8.vasp, 金属: Ir, 氧: O
 170.58 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_9.vasp, 金属: Ir, 氧: O
 169.57 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_10.vasp, 金属: Ir, 氧: O
 168.56 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_11.vasp, 金属: Ir, 氧: O
 167.54 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_12.vasp, 金属: Ir, 氧: O
 166.51 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_13.vasp, 金属: Ir, 氧: O
 165.48 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_14.vasp, 金属: Ir, 氧: O
 164.46 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_15.vasp, 金属: Ir, 氧: O
 163.42 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_16.vasp, 金属: Ir, 氧: O
 162.39 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_17.vasp, 金属: Ir, 氧: O
 161.36 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_18.vasp, 金属: Ir, 氧: O
 160.32 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_19.vasp, 金属: Ir, 氧: O
 159.29 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_20.vasp, 金属: Ir, 氧: O
 158.25 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_21.vasp, 金属: Ir, 氧: O
 157.22 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_22.vasp, 金属: Ir, 氧: O
 156.19 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_23.vasp, 金属: Ir, 氧: O
 155.16 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_24.vasp, 金属: Ir, 氧: O
 154.14 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_25.vasp, 金属: Ir, 氧: O
 153.12 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_26.vasp, 金属: Ir, 氧: O
 152.10 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_27.vasp, 金属: Ir, 氧: O
 151.08 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_28.vasp, 金属: Ir, 氧: O
 150.07 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_29.vasp, 金属: Ir, 氧: O
 149.07 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_30.vasp, 金属: Ir, 氧: O
 148.07 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_31.vasp, 金属: Ir, 氧: O
 147.08 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_32.vasp, 金属: Ir, 氧: O
 146.09 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_33.vasp, 金属: Ir, 氧: O
 145.12 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_34.vasp, 金属: Ir, 氧: O
 144.15 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_35.vasp, 金属: Ir, 氧: O
 143.18 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_36.vasp, 金属: Ir, 氧: O
 142.23 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_37.vasp, 金属: Ir, 氧: O
 141.28 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_38.vasp, 金属: Ir, 氧: O
 140.34 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_39.vasp, 金属: Ir, 氧: O
 139.41 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_40.vasp, 金属: Ir, 氧: O
 138.49 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_41.vasp, 金属: Ir, 氧: O
 137.58 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_42.vasp, 金属: Ir, 氧: O
 136.68 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_43.vasp, 金属: Ir, 氧: O
 135.79 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_44.vasp, 金属: Ir, 氧: O
 134.90 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_45.vasp, 金属: Ir, 氧: O
 134.03 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_46.vasp, 金属: Ir, 氧: O
 133.17 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_47.vasp, 金属: Ir, 氧: O
 132.32 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_48.vasp, 金属: Ir, 氧: O
 131.48 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_49.vasp, 金属: Ir, 氧: O
 130.64 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_50.vasp, 金属: Ir, 氧: O
 129.82 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_51.vasp, 金属: Ir, 氧: O
 129.01 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_52.vasp, 金属: Ir, 氧: O
 128.21 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_53.vasp, 金属: Ir, 氧: O
 127.42 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_54.vasp, 金属: Ir, 氧: O
 126.65 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_55.vasp, 金属: Ir, 氧: O
 125.88 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_56.vasp, 金属: Ir, 氧: O
 125.12 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_57.vasp, 金属: Ir, 氧: O
 124.37 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_58.vasp, 金属: Ir, 氧: O
 123.63 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_59.vasp, 金属: Ir, 氧: O
 122.91 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\1\IrO6_60.vasp, 金属: Ir, 氧: O
