 129.12 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_41.vasp, 金属: Ir, 氧: O
 128.21 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_42.vasp, 金属: Ir, 氧: O
 127.32 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_43.vasp, 金属: Ir, 氧: O
 126.43 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_44.vasp, 金属: Ir, 氧: O
 125.56 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_45.vasp, 金属: Ir, 氧: O
 124.69 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_46.vasp, 金属: Ir, 氧: O
 123.84 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_47.vasp, 金属: Ir, 氧: O
 122.99 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_48.vasp, 金属: Ir, 氧: O
 122.15 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_49.vasp, 金属: Ir, 氧: O
 121.33 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_50.vasp, 金属: Ir, 氧: O
 120.51 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_51.vasp, 金属: Ir, 氧: O
 119.71 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_52.vasp, 金属: Ir, 氧: O
 118.91 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_53.vasp, 金属: Ir, 氧: O
 118.12 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_54.vasp, 金属: Ir, 氧: O
 117.35 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_55.vasp, 金属: Ir, 氧: O
 116.58 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_56.vasp, 金属: Ir, 氧: O
 115.83 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_57.vasp, 金属: Ir, 氧: O
 115.09 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_58.vasp, 金属: Ir, 氧: O
 114.35 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_59.vasp, 金属: Ir, 氧: O
 113.63 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_60.vasp, 金属: Ir, 氧: O
